#Raman_shift/cm-1          I_tot                 I_e                   I_h
 -1980.5        5.342360735987E-009   5.421450920390E-008   2.611355685275E-008
 -1980.4        5.344756079483E-009   5.423878109594E-008   2.612523911036E-008
 -1980.3        5.347153045930E-009   5.426306943016E-008   2.613692928098E-008
 -1980.2        5.349551636797E-009   5.428737422143E-008   2.614862737174E-008
 -1980.1        5.351951853553E-009   5.431169548463E-008   2.616033338981E-008
 -1980.0        5.354353697668E-009   5.433603323466E-008   2.617204734237E-008
 -1979.9        5.356757170616E-009   5.436038748644E-008   2.618376923660E-008
 -1979.8        5.359162273870E-009   5.438475825491E-008   2.619549907968E-008
 -1979.7        5.361569008907E-009   5.440914555502E-008   2.620723687880E-008
 -1979.6        5.363977377203E-009   5.443354940174E-008   2.621898264118E-008
 -1979.5        5.366387380239E-009   5.445796981005E-008   2.623073637402E-008
 -1979.4        5.368799019495E-009   5.448240679495E-008   2.624249808455E-008
 -1979.3        5.371212296454E-009   5.450686037148E-008   2.625426777999E-008
 -1979.2        5.373627212600E-009   5.453133055466E-008   2.626604546758E-008
 -1979.1        5.376043769419E-009   5.455581735955E-008   2.627783115456E-008
 -1979.0        5.378461968399E-009   5.458032080122E-008   2.628962484819E-008
 -1978.9        5.380881811029E-009   5.460484089476E-008   2.630142655573E-008
 -1978.8        5.383303298800E-009   5.462937765527E-008   2.631323628445E-008
 -1978.7        5.385726433205E-009   5.465393109787E-008   2.632505404163E-008
 -1978.6        5.388151215738E-009   5.467850123772E-008   2.633687983455E-008
 -1978.5        5.390577647896E-009   5.470308808995E-008   2.634871367051E-008
 -1978.4        5.393005731176E-009   5.472769166976E-008   2.636055555680E-008
 -1978.3        5.395435467078E-009   5.475231199232E-008   2.637240550075E-008
 -1978.2        5.397866857103E-009   5.477694907284E-008   2.638426350966E-008
 -1978.1        5.400299902754E-009   5.480160292656E-008   2.639612959088E-008
 -1978.0        5.402734605536E-009   5.482627356872E-008   2.640800375172E-008
 -1977.9        5.405170966954E-009   5.485096101457E-008   2.641988599955E-008
 -1977.8        5.407608988517E-009   5.487566527940E-008   2.643177634170E-008
 -1977.7        5.410048671735E-009   5.490038637849E-008   2.644367478555E-008
 -1977.6        5.412490018119E-009   5.492512432717E-008   2.645558133845E-008
 -1977.5        5.414933029183E-009   5.494987914076E-008   2.646749600779E-008
